year,state,state_po,county,FIPS,candidate,party,candidatevotes,0
2016,West Virginia,WV,McDowell,54047,Other,NA,136,
2016,West Virginia,WV,Mercer,54055,Donald Trump,republican,17404,245
2016,West Virginia,WV,Mercer,54055,Hillary Clinton,democrat,4704,246
2016,West Virginia,WV,Mercer,54055,Other,NA,874,
2016,West Virginia,WV,Mineral,54057,Donald Trump,republican,9070,247
2016,West Virginia,WV,Mineral,54057,Hillary Clinton,democrat,2050,248
2016,West Virginia,WV,Mineral,54057,Other,NA,444,
2016,West Virginia,WV,Mingo,54059,Donald Trump,republican,7911,249
2016,West Virginia,WV,Mingo,54059,Hillary Clinton,democrat,1370,250
2016,West Virginia,WV,Mingo,54059,Other,NA,229,
2016,West Virginia,WV,Monongalia,54061,Donald Trump,republican,18432,251
2016,West Virginia,WV,Monongalia,54061,Hillary Clinton,democrat,14699,252
2016,West Virginia,WV,Monongalia,54061,Other,NA,2917,
2016,West Virginia,WV,Monroe,54063,Donald Trump,republican,4443,253
2016,West Virginia,WV,Monroe,54063,Hillary Clinton,democrat,1111,254
2016,West Virginia,WV,Monroe,54063,Other,NA,251,
2016,West Virginia,WV,Morgan,54065,Donald Trump,republican,5732,255
2016,West Virginia,WV,Morgan,54065,Hillary Clinton,democrat,1573,256
2016,West Virginia,WV,Morgan,54065,Other,NA,349,
2016,West Virginia,WV,Nicholas,54067,Donald Trump,republican,7251,257
2016,West Virginia,WV,Nicholas,54067,Hillary Clinton,democrat,1840,258
2016,West Virginia,WV,Nicholas,54067,Other,NA,400,
2016,West Virginia,WV,Ohio,54069,Donald Trump,republican,11139,259
2016,West Virginia,WV,Ohio,54069,Hillary Clinton,democrat,5493,260
2016,West Virginia,WV,Ohio,54069,Other,NA,1306,
2016,West Virginia,WV,Pendleton,54071,Donald Trump,republican,2398,261
2016,West Virginia,WV,Pendleton,54071,Hillary Clinton,democrat,729,262
2016,West Virginia,WV,Pendleton,54071,Other,NA,98,
2016,West Virginia,WV,Pleasants,54073,Donald Trump,republican,2358,263
2016,West Virginia,WV,Pleasants,54073,Hillary Clinton,democrat,621,264
2016,West Virginia,WV,Pleasants,54073,Other,NA,171,
